Breast;Denmark;Finland;Norway;Sweden
1971-1975;83.1[81.6-84.6];85.6[83.4-87.8];85.1[83.1-87.2];83.2[81.8-84.7]
1976-1980;82.6[81.1-84.1];84.4[82.0-86.8];84.6[82.7-86.5];84.3[82.9-85.8]
1981-1985;81.1[79.6-82.7];87.5[85.3-89.7];85.3[83.3-87.3];85.6[84.2-87.0]
1986-1990;83.8[82.2-85.3];82.0[79.2-84.9];85.1[83.2-87.1];85.2[83.7-86.8]
1991-1995;85.2[83.6-86.8];84.7[82.1-87.4];88.2[86.5-90.1];86.3[84.8-87.9]
1996-2000;83.8[82.0-85.7];88.1[85.6-90.6];85.9[83.8-88.0];85.8[84.2-87.5]
2001-2005;82.7[80.7-84.7];86.0[83.2-88.9];87.8[85.7-89.9];86.4[84.8-88.0]
2006-2010;85.1[83.1-87.1];86.6[83.7-89.6];88.1[86.1-90.2];87.7[86.1-89.2]
2011-2015;88.1[86.3-90.0];86.2[83.5-89.0];89.2[87.1-91.4];88.0[86.5-89.6]
2016-2020;90.1[88.4-91.8];86.4[83.7-89.2];91.0[89.3-92.8];90.3[89.0-91.7]
