Breast;Denmark;Finland;Norway;Sweden
1971-1975;66.3[63.3-69.5];61.6[57.8-65.7];70.5[66.4-74.8];71.0[68.7-73.3]
1976-1980;71.4[68.9-74.1];65.9[63.0-68.9];73.0[69.8-76.4];71.8[69.7-73.8]
1981-1985;72.9[70.6-75.3];72.1[69.4-74.9];70.9[67.9-74.0];74.9[72.9-76.8]
1986-1990;75.7[73.4-78.0];73.5[71.0-76.0];72.0[69.3-74.8];78.0[76.3-79.8]
1991-1995;77.9[75.7-80.1];78.9[76.6-81.2];76.5[74.0-79.0];80.3[78.8-81.8]
1996-2000;81.2[79.1-83.5];80.6[78.6-82.7];79.5[77.3-81.7];83.2[81.8-84.6]
2001-2005;79.8[77.8-81.8];83.8[82.1-85.6];82.0[80.1-83.9];85.2[83.9-86.4]
2006-2010;83.6[81.8-85.5];84.4[82.8-86.0];83.8[82.0-85.6];85.3[84.1-86.5]
2011-2015;84.3[82.6-86.0];83.0[81.5-84.5];84.8[83.2-86.5];85.6[84.5-86.8]
2016-2020;83.4[81.8-85.0];82.6[81.2-84.1];85.9[84.4-87.4];86.1[85.0-87.3]
