Breast;Denmark;Finland;Norway;Sweden
1971-1975;20.8[18.9-22.9];26.4[23.1-30.1];29.7[26.7-33.0];33.4[31.7-35.1]
1976-1980;22.1[20.4-24.0];25.8[23.4-28.5];32.7[30.0-35.8];34.8[33.1-36.5]
1981-1985;24.2[22.5-26.1];30.2[27.9-32.6];33.3[31.0-35.9];37.9[36.2-39.6]
1986-1990;27.9[26.1-29.9];31.8[29.5-34.2];32.2[30.1-34.5];39.3[37.6-41.0]
1991-1995;27.5[25.7-29.5];33.2[31.0-35.5];35.1[32.9-37.4];38.8[37.1-40.5]
1996-2000;32.8[31.0-34.8];40.7[38.4-43.1];39.7[37.5-42.0];42.7[41.0-44.6]
2001-2005;34.6[32.6-36.6];43.4[41.2-45.7];41.6[39.4-44.0];44.3[42.5-46.1]
2006-2010;40.0[38.0-42.1];44.4[42.3-46.7];44.7[42.5-47.1];46.2[44.4-48.1]
2011-2015;42.6[40.6-44.7];44.0[42.0-46.1];48.6[46.3-51.0];51.6[49.6-53.6]
2016-2020;43.9[41.9-46.0];46.6[44.5-48.8];52.4[50.1-54.9];52.9[51.0-54.9]
