vulva_1y,Denmark,Finland,Norway,Sweden
1971-1975,84.2[80.1-88.6],69.9[63.9-76.6],82.1[76.9-87.7],80.0[76.5-83.7]
1976-1980,83.7[79.9-87.7],75.9[70.3-81.9],82.3[77.3-87.6],81.6[78.3-85.2]*
1981-1985,84.8[80.7-89.1],80.4[75.7-85.3],80.4[75.4-85.8],86.2[83.4-89.0]
1986-1990,83.4[79.0-87.9],81.5[76.7-86.7],82.2[77.7-87.0],83.2[80.2-86.3]
1991-1995,86.5[82.4-90.8],84.9[80.4-89.5],84.9[80.5-89.6],85.6[82.6-88.8]
1996-2000,87.3[83.5-91.4],78.9[74.3-83.9]*,86.7[81.8-91.9],83.3[80.3-86.3]
2001-2005,85.4[81.4-89.6],84.1[80.2-88.1],82.9[78.6-87.5]*,86.3[83.5-89.2]
2006-2010,86.2[82.8-89.7],83.6[79.7-87.8],88.9[85.4-92.6],86.5[83.9-89.2]*
2011-2015,86.3[83.1-89.7],85.5[82.2-89.0],87.2[83.6-91.1],90.7[88.6-92.7]
2016-2020,88.5[85.7-91.4],87.3[84.3-90.5],87.3[84.0-90.7],87.6[85.4-89.9]
